USERID,OBJID,RATING,LATITUDE,LONGITUDE
S156HzsEW-BjCfzu0xLe9A,ImU8asw-7e_9sZoDc2lzXA,2,36.2026616,-115.2436227
gAH0POhe-xwkH_wmXF1tYw,InpTA6-ErH8JVwTKsbWNZA,5,36.1174731237,-115.089697105
oEshN5oq98_g23MvEnRc5A,CDbtT91FYGMRFiAMYTE-uQ,4,55.9455566,-3.1846324
NLX7OC9XpCSzlOBMG_lmeQ,12sLUp6XxjHPYf12j1IOqQ,4,43.7089419,-79.3990096
Tjv5bBtJ-Z_CLiY-rheG2g,AfQjI9Wbu6_Hzy2b3e7JLw,4,43.653067,-79.384058
7N0HO20l5hDb1m4JsUDlpg,aIZQF2UCLv6ru-zsPK4H2Q,5,33.399961,-112.0294349
7vsMC2RndD2WertWHA5GJQ,XmgdFa3G_CZVfjtQEJMZfQ,4,43.6572066092,-79.4042482642
DBHCFW3mSmmOEpONHVu1rQ,BYNPZf2RPFrqVvjBlwfZOw,4,43.8770052725,-79.4107820168
fuux76suMAhWIpwQdNqIWg,doX6YraMmCimqAhnQR2mYA,5,36.0128454,-115.1542808
f5AzyVdIDASkl8kAJSZq7Q,VG-ceXs6jg_gZ5R7gfkTxQ,1,36.0680431216,-115.177205911
n9RM5dQs7DEbUNZR2AAPVw,SSfNzgqA-3cbM7aWK-4nDw,5,33.4656782927,-111.916540718
Eyw6XT1bFo_vKpFfIcuAag,7YJrRufp-0tlNnihJy-Xeg,5,36.068406,-115.251131
G8M4H_3OwVYld36Xrzu_Bg,RK5YJ01Rla3nLOTe7JPktA,4,45.5009751,-73.572825
MJKg_Z3Ba0GyEjDgTGmX8g,Gpr3RKvXXH5aa2XfXRwscA,4,43.661743,-79.3860935
GTcKUjRulTRN_XxehMgSZQ,04jtcZLxvrFOi_G9ElWYtQ,3,36.1247777,-114.9085555
5JNgIiiVVXClwS6ut_Z9rg,KXfhB9wkyycKBi3BZ7On5A,5,33.473986,-112.0743109
kKXjr2cCjPMQoX0OiB6XRA,EozORgWFUCiiMfIjnKxhXg,4,48.8326,9.31514
gKvhQ1I3pJWdtDNNMllhdg,SaI-99XOm7LMStUrjyG4jw,1,43.6467758,-79.3824909
o0WGr8L3BWfH2Bslpnqw6g,5-1zA-TaCUeDa74uzXl78A,4,55.952433,-3.2023247
O4jEU1IsyccHMLZnOhkpzA,TCEOq0IoCW76Z7J9jwED9g,1,36.3255827,-115.2896852
135DbbQnr3BEkQbBzZ9T1A,Mf1tLeJhoab7fN2r7rGB7g,3,40.5569121,-80.0199562
2m2MNnlOdofofmUs-hYTJQ,aZG9Hp8fdgzq37iuB1QTYg,5,35.1032362,-80.9437367
9nUtGoOnZMPlZdUQV_aqTA,E0hjQKyw3IRaVsyayTPr7w,3,55.9462019,-3.2159857
CTaZ3ebFGQMHaLZhnO2EuA,wWCID-HxH2wITPDIqghuiQ,4,41.3019045,-81.3419409
zIOxNinC6ofIwwGjO9rUWg,XIg92ukZJn_1aiNx0OmusQ,5,45.480889,-73.5787889
U83weFx8vCDw7zYO-4FeWA,--SrzpvFLwP_YFwB_Cetow,4,43.8067504,-79.2888581
S-o3iFv-AFdgE4FXNMJ1Kw,C14bjKs2rJhRDnKu7ZSSIg,4,33.487608,-112.082516
_n1EYl_LwS4Do1JLJX8VdQ,mUeJYYxV0FbIFEHq2dtIhw,3,33.4722842,-112.2721366
L8P5OWO1Jh4B2HLa1Fnbng,_miMpqv-9ay174DfRopwpg,3,36.0113116,-115.1747074
uRcZURC3ituvPT0en9l3xA,GiDPLKtTfNHTb0koEWIz2g,1,33.3215399,-111.9275344
peVsgFj0qa8SErmzIDM0lg,w_UCGMgok7N9p0XdYBx1VQ,3,40.440287,-80.002585
_jYEC7fvqTxu5R2jhk_NDQ,o0c4waS2vQG2LqLaTCwZDA,5,33.4486019,-112.0581691
yxplUTyzTXGz0Fj1doXWcA,VecnSuJm8sD83LWJ_KqAtg,1,55.9308866,-3.2100043
jnB_saJqNfOmVoCWquhAzg,pw_YJMxkqEdXGI549TriAA,4,43.6112889,-79.5568671
SlgpAnj2gQd44EM_Uq6DkQ,9bfuS3rmaLUgElvmbMy30w,2,35.227396,-80.842257
_A8CO1V40LPIkXqE-LTYTg,Xx_bvAVlMw8ggBN8gNuugg,5,43.8652279107,-79.3896102905
